roof_id,imageURL,photos_folder,annotation,annotation_time
1,2e69e5ad-53e9-daca-b4c4-b9ed9505858b.png,small_photos-api_upload,0,2022_05_24-17_15_18
266,c6944d60-8f49-d368-75f3-b151d77d2e3e.png,small_photos-api_upload,1,2022_05_24-17_17_06
370,02c68e36-1016-35e2-a9a9-6072e54f2e39.png,small_photos-api_upload,0,2022_05_24-17_20_24
421,75da75a6-5bf9-e070-527c-6a59b6f929ec.png,small_photos-api_upload,0,2022_05_24-17_21_51
925,ffcda7c4-cfd3-c84a-facd-a385a3afde28.png,small_photos-api_upload,1,2022_05_24-17_17_58
1423,ad1884a8-08b4-0690-4d18-c2eee958662d.png,small_photos-api_upload,0,2022_05_24-17_22_15
2350,5e3b03a4-25dc-f8cf-7d43-fbbc4f62584c.png,small_photos-api_upload,0,2022_05_24-17_16_37
3823,d0039648-3bed-e366-4096-ad3da4dd5278.png,small_photos-api_upload,1,2022_05_24-17_16_47
3894,3b315971-9626-6766-9ab5-87ed791575c5.png,small_photos-api_upload,0,2022_05_24-17_18_52
4498,a1590445-83f6-212c-edc7-d662814974f3.png,small_photos-api_upload,0,2022_05_24-17_22_26
4810,d883f6bb-2a97-a096-a6cb-4c1ff2b943f3.png,small_photos-api_upload,0,2022_05_24-17_21_57
4834,ac5e0b41-fdea-0dc8-be4e-fa62579ab834.png,small_photos-api_upload,0,2022_05_24-17_19_27
5003,cc979c8b-1153-8467-db69-3b19f41457a6.png,small_photos-api_upload,0,2022_05_24-17_21_15
5487,853b1614-19fc-c4b6-1236-76649f45a245.png,small_photos-api_upload,0,2022_05_24-17_20_31
5557,86ea0751-288f-bcad-7263-54f72e034fcb.png,small_photos-api_upload,0,2022_05_24-17_20_47
6008,0455f850-1cee-76e6-a90c-cc6ab108845f.png,small_photos-api_upload,0,2022_05_24-17_15_57
6018,459d073b-7cae-0554-30c3-67c16d1fd75e.png,small_photos-api_upload,0,2022_05_24-17_20_38
6178,61de347a-9bed-987a-9aec-332bc79f6b7b.png,small_photos-api_upload,0,2022_05_24-17_21_24
6656,92b1267e-7c66-4096-c3a6-1e038a8528ee.png,small_photos-api_upload,0,2022_05_24-17_18_08
7935,a35b38ee-ee85-d448-3085-4bddd061453e.png,small_photos-api_upload,0,2022_05_24-17_18_19
8239,1289a8c7-11e7-c45f-eaec-7cf6eeda2263.png,small_photos-api_upload,1,2022_05_24-17_22_40
8342,2fe6eb62-de11-d60a-ab05-41fa723fc94a.png,small_photos-api_upload,0,2022_05_24-17_15_26
9997,ac72e0ac-5cb5-d25f-e68e-1a2b84a7a8ca.png,small_photos-api_upload,1,2022_05_24-17_21_34
10124,e15c6a1c-c140-2987-6893-878f7c02052c.png,small_photos-api_upload,1,2022_05_24-17_18_42
11129,39005813-e270-34b2-9e78-c4687acbbdd2.png,small_photos-api_upload,1,2022_05_24-17_19_22
11331,7274da7c-620f-dca7-79e0-cf1d0546b0d9.png,small_photos-api_upload,0,2022_05_24-17_15_39
12319,74e62c39-7729-1b3b-4a67-35ab4fe97e4a.png,small_photos-api_upload,0,2022_05_24-17_15_49
