roof_id,imageURL,photos_folder,annotation,annotation_time
1,2e69e5ad-53e9-daca-b4c4-b9ed9505858b.png,small_photos-api_upload,0,2022_05_24-17_15_18
45,b440b27f-b011-70cf-1db2-7b4caed8d132.png,small_photos-api_upload,0,2022_05_24-17_34_20
67,b8126876-4511-f5a3-fc2e-df219213fce3.png,small_photos-api_upload,0,2022_05_24-17_42_33
131,bca50f3f-493c-7bae-2dce-58b10100a366.png,small_photos-api_upload,0,2022_05_24-17_37_31
246,d5167fcb-8268-e623-5d7f-df6f317ed149.png,small_photos-api_upload,0,2022_05_24-17_42_02
266,c6944d60-8f49-d368-75f3-b151d77d2e3e.png,small_photos-api_upload,1,2022_05_24-17_17_06
370,02c68e36-1016-35e2-a9a9-6072e54f2e39.png,small_photos-api_upload,0,2022_05_24-17_20_24
421,75da75a6-5bf9-e070-527c-6a59b6f929ec.png,small_photos-api_upload,0,2022_05_24-17_21_51
567,5647b2ae-cf49-3ab7-f63e-efbdeccc61a1.png,small_photos-api_upload,0,2022_05_24-17_28_06
893,d1a4a2ed-8d82-01ec-096f-370e0f26309a.png,small_photos-api_upload,0,2022_05_24-17_36_30
925,ffcda7c4-cfd3-c84a-facd-a385a3afde28.png,small_photos-api_upload,1,2022_05_24-17_17_58
974,b0029514-f3bc-86dc-7241-1e131b16c740.png,small_photos-api_upload,0,2022_05_24-17_40_40
1022,a740fa8e-b65c-1694-56ca-b5ba6c274500.png,small_photos-api_upload,0,2022_05_24-17_52_57
1063,310556c1-1d3e-7e24-160f-94f6e13d15dd.png,small_photos-api_upload,0,2022_05_24-17_27_02
1075,f195cfb9-10f2-17ff-6c45-fe954c599863.png,small_photos-api_upload,0,2022_05_24-17_51_34
1146,fc6cba8a-5066-028b-bb5b-a647cef8934d.png,small_photos-api_upload,0,2022_05_24-17_40_26
1423,ad1884a8-08b4-0690-4d18-c2eee958662d.png,small_photos-api_upload,0,2022_05_24-17_22_15
1486,d138aa48-e9e1-3ba3-df9b-9908809d49dc.png,small_photos-api_upload,0,2022_05_24-17_36_37
1538,7a2a3188-5338-7875-ad86-5e9657afab1f.png,small_photos-api_upload,0,2022_05_24-17_26_21
1546,b389911c-1810-0c03-b0b7-3059cddd13e3.png,small_photos-api_upload,0,2022_05_24-17_44_29
1551,802d7f06-8c1a-4a29-72df-2ef73018d6d3.png,small_photos-api_upload,0,2022_05_24-17_38_36
1609,c4e8bb79-8d2c-5b6a-eafe-dd4fdf1fd79c.png,small_photos-api_upload,1,2022_05_24-17_43_27
1686,ffe680df-03aa-b24c-7d1a-fc934ea384c0.png,small_photos-api_upload,0,2022_05_24-17_35_02
1913,0aadf3f3-4dd6-905d-7fc5-35972ef551db.png,small_photos-api_upload,0,2022_05_24-17_32_29
1985,3f815a2b-e824-37aa-9373-37171354e563.png,small_photos-api_upload,1,2022_05_24-17_54_16
