roof_id,imageURL,photos_folder,annotation,annotation_time
2293,1b030032-2858-6345-6e1c-2712c82ada11.png,large_photos-0K_5K-api_upload,1,2022_05_24-16_29_47
3627,177f029f-9b36-944d-c756-2b64aff63824.png,large_photos-0K_5K-api_upload,0,2022_05_24-16_32_28
7777,023838fe-4669-f540-7edc-7769c96ee8aa.png,large_photos-0K_5K-api_upload,0,2022_05_24-16_33_06
10508,36644bf9-d8bf-1309-74af-1e22b8059f8c.png,large_photos-0K_5K-api_upload,0,2022_05_24-16_33_14
10509,36644bf9-d8bf-1309-74af-1e22b8059f8c.png,large_photos-0K_5K-api_upload,0,2022_05_24-16_33_19
10510,36644bf9-d8bf-1309-74af-1e22b8059f8c.png,large_photos-0K_5K-api_upload,0,2022_05_24-16_33_23
10511,36644bf9-d8bf-1309-74af-1e22b8059f8c.png,large_photos-0K_5K-api_upload,0,2022_05_24-16_33_27
10538,36644bf9-d8bf-1309-74af-1e22b8059f8c.png,large_photos-0K_5K-api_upload,0,2022_05_24-16_33_31
12537,098e3a34-044a-c4c2-f97a-36ee1e86dfa4.png,large_photos-0K_5K-api_upload,0,2022_05_24-16_33_35
12553,2907388a-98a3-f16f-8fc9-9d3e9305ddc4.png,large_photos-0K_5K-api_upload,0,2022_05_24-16_33_41
12597,21de3eb3-17b6-76e5-0bb1-dbfdd53bee1a.png,large_photos-0K_5K-api_upload,0,2022_05_24-16_33_45
12598,21de3eb3-17b6-76e5-0bb1-dbfdd53bee1a.png,large_photos-0K_5K-api_upload,0,2022_05_24-16_33_51
12946,19b28598-f6b6-7bfd-6547-1603eaa257da.png,large_photos-0K_5K-api_upload,1,2022_05_24-16_35_03
13819,05f13727-57e1-8364-059e-afd2de283f62.png,large_photos-0K_5K-api_upload,1,2022_05_24-16_35_15
14199,09a77aa3-bee5-1461-525b-702bddd53f3b.png,large_photos-0K_5K-api_upload,0,2022_05_24-16_35_21
14396,044e4f5e-4a9d-0562-2147-bf03bde7cdb8.png,large_photos-0K_5K-api_upload,0,2022_05_24-16_35_39
14770,2f5c29bb-c597-b3fc-0407-ea96318dd220.png,large_photos-0K_5K-api_upload,0,2022_05_24-16_35_53
14771,2f5c29bb-c597-b3fc-0407-ea96318dd220.png,large_photos-0K_5K-api_upload,0,2022_05_24-16_35_58
14809,1255b0d3-142e-28ed-8922-cbcfaad19ddb.png,large_photos-0K_5K-api_upload,1,2022_05_24-16_36_04
15075,29aa41bc-59a4-a1d9-ee52-d9a1e62c3ea1.png,large_photos-0K_5K-api_upload,0,2022_05_24-16_36_12
15143,260053de-8b09-bb7f-8748-f63689bd9cf2.png,large_photos-0K_5K-api_upload,1,2022_05_24-16_36_31
15172,1107040f-47be-7e4b-f897-53d8b7e926fe.png,large_photos-0K_5K-api_upload,0,2022_05_24-16_36_39
15437,1b433bfe-95e5-4295-08ee-47af2929182f.png,large_photos-0K_5K-api_upload,1,2022_05_24-16_37_19
15679,0b5712cd-ad48-9271-f562-19b81330dd62.png,large_photos-0K_5K-api_upload,1,2022_05_24-16_37_26
