roof_id,imageURL,photos_folder,annotation,annotation_time
2,696d9474-17da-f9ff-c854-4a4ee9707153.png,small_photos,0,2022_05_31-20_24_35
65,b8126876-4511-f5a3-fc2e-df219213fce3.png,small_photos,1,2022_05_31-20_28_21
91,b592f575-c1d9-1e4c-4157-c9af24479231.png,small_photos,0,2022_05_31-19_56_33
113,42e54e4d-41fb-c02e-9c74-cf854133c89f.png,small_photos,0,2022_05_31-22_31_35
133,9bfcb9b7-e606-e5a7-ad20-0d77f3c2e0e0.png,small_photos,1,2022_05_31-20_09_18
215,de334bbb-dbca-0fb6-0f93-934b9b3297e2.png,small_photos,1,2022_05_31-20_33_53
247,cf24d3af-0476-1812-cb70-45e615d5cb77.png,small_photos,0,2022_05_31-20_43_29
250,8a185d91-7b32-ba97-9dac-5146c6093ca0.png,small_photos,0,2022_05_31-20_06_18
252,dc92ff8f-ddc8-c9b6-9b30-f91b05e3cbb8.png,small_photos,1,2022_05_31-20_13_13
253,dc92ff8f-ddc8-c9b6-9b30-f91b05e3cbb8.png,small_photos,1,2022_05_31-20_31_00
281,cc0c3ad3-48d8-e9b2-1a27-b630493a5fb8.png,small_photos,0,2022_05_31-22_36_17
302,cf24d3af-0476-1812-cb70-45e615d5cb77.png,small_photos,0,2022_05_31-21_52_07
303,cf24d3af-0476-1812-cb70-45e615d5cb77.png,small_photos,0,2022_05_31-20_15_23
309,15363217-2da0-c710-41ea-bc143908c820.png,small_photos,0,2022_05_31-20_41_39
355,21141db9-980b-9e06-8142-56e8164acedc.png,small_photos,1,2022_05_31-20_21_20
383,5849826a-dfe3-dc05-5fc8-5aac85df5d3c.png,small_photos,0,2022_05_31-22_36_05
388,fb9ce683-9fc1-170d-87f5-112692f97521.png,small_photos,0,2022_05_31-22_21_13
411,a87daf71-2335-ce7e-b667-01d138db1806.png,small_photos,1,2022_05_31-20_24_47
421,75da75a6-5bf9-e070-527c-6a59b6f929ec.png,small_photos,0,2022_05_31-20_05_46
446,773afebb-37b3-48d0-2999-06dfd27b4991.png,small_photos,0,2022_05_31-20_20_17
496,d657af1e-4080-418e-60c8-fbcb6ab0ce6f.png,small_photos,0,2022_05_31-20_09_54
498,0c6fe794-e3bc-30e3-a924-6fbbc3afc06a.png,small_photos,1,2022_05_31-20_40_01
499,b7a77137-6f9f-bfe2-ba17-ac34749f7e1d.png,small_photos,0,2022_05_31-20_22_37
502,beead957-0bd9-6c72-c434-3c0b9d3677a3.png,small_photos,0,2022_05_31-20_24_56
508,5e84ede5-a90d-f768-c9b7-4ab9db4cd69f.png,small_photos,0,2022_05_31-22_22_00
602,3a8e288a-e7c4-3667-2e14-dee7c7039589.png,small_photos,0,2022_05_31-22_03_24
608,f7394557-9acc-81a5-33cb-0ad642c2f3e2.png,small_photos,1,2022_05_31-20_11_34
630,e2b4507c-0bc2-3e49-5a7c-3c1b20bf1a51.png,small_photos,0,2022_05_31-22_19_25
675,038ebfe3-036f-0e12-e3d5-5b69899bf3a3.png,small_photos,0,2022_05_31-20_35_11
687,30845b86-4a30-e593-4f45-c26b01ac63a2.png,small_photos,0,2022_05_31-22_30_50
753,956016c1-02b1-cf35-6371-f71ce26704f7.png,small_photos,0,2022_05_31-22_00_30
766,2a56807d-6662-63e2-ffb5-d090a47e0bb2.png,small_photos,1,2022_05_31-22_22_09
781,b2422468-f180-f836-0f1c-2374b35d124a.png,small_photos,0,2022_05_31-22_18_24
788,6b12d03d-69d6-c452-74f1-f2ad541d8451.png,small_photos,0,2022_05_31-21_52_39
815,36edccca-4254-c49b-2731-8904bb5303c9.png,small_photos,0,2022_05_31-22_21_38
820,23fd8ad2-54c0-0831-e91c-b767bb54f85c.png,small_photos,0,2022_05_31-20_20_54
853,1c8e2b3c-8b3e-a333-97e2-a5695ccc322f.png,small_photos,0,2022_05_31-20_32_01
854,9c0d9f66-2936-5ddb-6a26-cd9397f577b6.png,small_photos,0,2022_05_31-21_57_17
863,ed86bf2a-e806-0bf4-0827-e83ef52c1bf4.png,small_photos,1,2022_05_31-20_39_25
879,4a8e4d5f-fc43-4138-354d-e99f7fab45cc.png,small_photos,1,2022_05_31-21_56_26
